BattleID,State,SN,AtkTeam,FirstAction,Attacker,SufferTeam,Sufferer,SkillName,SkillType,Damage/HP
0,Action,113,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-61
0,Action,113,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,pDps,魔法攻击,Magic,-61
0,Action,113,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-61
0,Action,113,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-61
0,Kill,113,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-61
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,Tank,旋风斩,Physical,-58
0,Action,113,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-64
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,Tank,暴风雪,Magic,-60
0,Action,113,Team_1,0,Hero,Team_2,mDps,暴风雪,Magic,-66
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,Tank,旋风斩,Physical,-58
0,Action,113,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-64
0,Action,113,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,Tank,旋风斩,Physical,-58
0,Action,113,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-64
0,Kill,113,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-64
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,Tank,魔法攻击,Magic,-55
0,Action,113,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-22
0,Action,113,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-55
0,Kill,113,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-55
0,End,,Team_1,0,Hero,,,,,267
0,End,,Team_2,1,Tank,,,,,0
0,End,,Team_2,1,mDps,,,,,0
0,End,,Team_2,1,pDps,,,,,0
