BattleID,State,SN,AtkTeam,FirstAction,Attacker,SufferTeam,Sufferer,SkillName,SkillType,Damage/HP
0,Action,56,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-59
0,Action,56,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-59
0,Action,56,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,56,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-59
0,Action,56,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,56,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,56,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,56,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-109
0,Action,56,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-109
0,Kill,56,Team_1,0,Hero,Team_2,Tank,攻击,Physical,-109
0,Action,56,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,56,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,56,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-114
0,Action,56,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-164
0,Kill,56,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-164
0,Action,56,Team_1,0,Hero,Team_2,mDps,攻击,Physical,-164
0,Action,56,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,56,Team_1,0,Hero,Team_2,mDps,攻击,Physical,-164
0,Kill,56,Team_1,0,Hero,Team_2,mDps,攻击,Physical,-164
0,End,,Team_1,0,Hero,,,,,801
0,End,,Team_2,1,Tank,,,,,0
0,End,,Team_2,1,mDps,,,,,0
0,End,,Team_2,1,pDps,,,,,0
