BattleID,State,SN,AtkTeam,FirstAction,Attacker,SufferTeam,Sufferer,SkillName,SkillType,Damage/HP
0,Action,72,Team_1,0,Hero,Team_2,Tank,魔法攻击,Magic,-59
0,Action,72,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,72,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,72,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,72,Team_1,0,Hero,Team_2,pDps,攻击,Physical,-64
0,Action,72,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,72,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,72,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,72,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,72,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,72,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,72,Team_1,0,Hero,Team_2,Tank,旋风斩,Physical,-62
0,Action,72,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-67
0,Action,72,Team_1,0,Hero,Team_2,pDps,旋风斩,Physical,-67
0,Action,72,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,72,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,72,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,72,Team_1,0,Hero,Team_2,Tank,旋风斩,Physical,-62
0,Action,72,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-67
0,Action,72,Team_1,0,Hero,Team_2,pDps,旋风斩,Physical,-67
0,Action,72,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,72,Team_2,1,mDps,Team_1,Hero,魔法攻击,Magic,-31
0,Action,72,Team_2,1,pDps,Team_1,Hero,攻击,Physical,-32
0,Action,72,Team_1,0,Hero,Team_2,Tank,旋风斩,Physical,-62
0,Action,72,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-67
0,Kill,72,Team_1,0,Hero,Team_2,mDps,旋风斩,Physical,-67
0,Action,72,Team_1,0,Hero,Team_2,pDps,旋风斩,Physical,-67
0,Kill,72,Team_1,0,Hero,Team_2,pDps,旋风斩,Physical,-67
0,Action,72,Team_2,1,Tank,Team_1,Hero,攻击,Physical,-21
0,Action,72,Team_1,0,Hero,Team_2,Tank,魔法攻击,Magic,-59
0,Kill,72,Team_1,0,Hero,Team_2,Tank,魔法攻击,Magic,-59
0,End,,Team_1,0,Hero,,,,,559
0,End,,Team_2,1,Tank,,,,,0
0,End,,Team_2,1,mDps,,,,,0
0,End,,Team_2,1,pDps,,,,,0
